Encoding	Decoding
527.0005	5393.0054
528.0005	5406.0054
525.0005	5415.0054
526.0005	3011.0030
526.0005	280.0003
526.0005	281.0003
525.0005	5416.0054
526.0005	5466.0055
526.0005	5424.0054
527.0005	331.0003
526.0005	445.0004
525.0005	283.0003
526.0005	5436.0054
526.0005	5458.0055
526.0005	457.0005
525.0005	284.0003
525.0005	5610.0056
629.0006	5489.0055
527.0005	5596.0056
526.0005	5425.0054
526.0005	5474.0055
526.0005	280.0003
526.0005	286.0003
526.0005	5450.0054
527.0005	320.0003
527.0005	318.0003
527.0005	5402.0054
528.0005	5408.0054
526.0005	5448.0054
623.0006	297.0003
525.0005	3072.0031
525.0005	5423.0054
522.0005	461.0005
526.0005	279.0003
526.0005	5391.0054
527.0005	5449.0054
525.0005	453.0005
525.0005	281.0003
525.0005	3003.0030
526.0005	295.0003
525.0005	281.0003
613.0006	5442.0054
528.0005	5544.0055
526.0005	5438.0054
525.0005	5429.0054
526.0005	2992.0030
525.0005	290.0003
526.0005	280.0003
525.0005	5429.0054
527.0005	5476.0055
599.0006	5450.0054
527.0005	5459.0055
525.0005	5410.0054
526.0005	5398.0054
527.0005	5393.0054
614.0006	5468.0055
525.0005	286.0003
524.0005	282.0003
525.0005	5431.0054
630.0006	5418.0054
526.0005	5450.0054
528.0005	5438.0054
525.0005	5438.0054
525.0005	5461.0055
617.0006	5439.0054
526.0005	5411.0054
526.0005	5427.0054
529.0005	288.0003
525.0005	279.0003
529.0005	5414.0054
526.0005	5414.0054
525.0005	284.0003
526.0005	272.0003
525.0005	3033.0030
528.0005	447.0004
528.0005	5415.0054
529.0005	5500.0055
527.0005	5404.0054
527.0005	283.0003
525.0005	274.0003
526.0005	5437.0054
624.0006	5590.0056
524.0005	282.0003
526.0005	284.0003
526.0005	5438.0054
527.0005	5442.0054
526.0005	283.0003
526.0005	285.0003
524.0005	5454.0055
622.0006	5472.0055
526.0005	5501.0055
525.0005	5439.0054
526.0005	284.0003
524.0005	283.0003
527.0005	5447.0054
527.0005	326.0003
526.0005	280.0003
527.0005	281.0003
525.0005	5413.0054
525.0005	5651.0057
527.0005	5469.0055
527.0005	285.0003
524.0005	281.0003
526.0005	5399.0054
526.0005	5484.0055
624.0006	5456.0055
528.0005	5532.0055
526.0005	5444.0054
526.0005	3868.0039
528.0005	294.0003
526.0005	280.0003
529.0005	3038.0030
526.0005	452.0005
527.0005	282.0003
525.0005	5462.0055
621.0006	5419.0054
527.0005	5464.0055
525.0005	5410.0054
524.0005	285.0003
525.0005	280.0003
527.0005	5420.0054
526.0005	331.0003
526.0005	290.0003
